AREA,BFIHOST,FARL,FPEXT,LDP,PROPWET,RMED-1D,SAAR,Index flood
184.23,0.482,0.918,0.0304,28.56,0.52,37.6,1152,48.267
79.4,0.481,0.95,0.0281,20.37,0.48,54,1618,45.324997
85.63,0.402,0.982,0.056,22.77,0.26,27.9,598,8.1345005
123.5,0.761,0.973,0.0925,26.22,0.27,32.7,646,6.552
58.16,0.523,0.996,0.0789,13.64,0.25,27.3,560,4.628
182.48,0.494,0.922,0.0445,29.83,0.35,35.9,835,32.242
92.74,0.403,0.986,0.107,31.53,0.31,29.9,598,10.6
1380.04,0.506,0.976,0.0468,107.51,0.62,38,1108,436.809
84.62,0.872,1,0.1187,24.12,0.34,31.3,744,5.594
783.72,0.51,0.916,0.061,71.45,0.59,43.8,1404,250.242
68,0.974,1,0.0246,21.79,0.35,32.5,807,3.715
63.78,0.404,0.997,0.0691,18.61,0.3,28.2,588,8.502
232.41,0.443,0.875,0.0267,41.66,0.7,41.2,1347,80.669
75.85,0.952,0.979,0.0488,25.22,0.34,36.6,896,2.889
897.26,0.507,0.995,0.0485,109.03,0.52,44.8,1379,215.506
510.02,0.425,0.997,0.0515,54.43,0.71,54.5,1652,441.99402
579.08,0.33,0.992,0.0582,69.54,0.62,36.2,1212,248.945
778.96,0.439,0.969,0.0519,66.61,0.51,42.3,1339,262.16998
278.05,0.353,0.992,0.184,36.97,0.34,32.5,691,42.098503
444.8,0.505,0.998,0.0342,54.2,0.53,36.2,988,129.252
50.97,0.455,0.997,0.0262,16.1,0.35,34.2,852,13.606501
1269.46,0.584,0.996,0.0588,127.35,0.52,34.4,884,136.246
38.59,0.421,1,0.012,11.98,0.72,49.9,1740,60.364
2852.4,0.485,0.959,0.0525,162.33,0.63,36.8,1119,472.093
36.7,0.588,0.982,0.0048,12.13,0.38,43.9,1151,6.12
263.63,0.577,0.993,0.0401,30.57,0.46,33.9,909,72.6325
137.79,0.527,0.997,0.0815,23.72,0.37,34,866,36.2005
108.14,0.883,0.961,0.0415,24.19,0.29,32.1,691,1.987
52.44,0.48,0.951,0.0611,19.05,0.35,38.5,857,16.406
103.32,0.596,0.982,0.1498,21.93,0.28,27.3,595,3.659
116.03,0.39,0.767,0.016,20.64,0.72,46.4,1555,38.503
140.09,0.576,0.993,0.0518,22.82,0.29,29.1,599,8.129
366.25,0.341,0.932,0.0697,46,0.69,50.2,1757,226.806
414.39,0.292,0.861,0.1083,58.38,0.58,33.8,1058,98.094
832.97,0.472,0.997,0.0374,63.01,0.48,38.3,1153,229.1175
1.74,0.603,1,0.0172,2.74,0.54,41.6,1207,1.2245
86.01,0.338,0.985,0.0465,22.11,0.71,62.2,2261,117.965
228.88,0.585,0.993,0.065,30.57,0.4,36,971,71.491
89.03,0.546,0.983,0.0656,27.77,0.45,42.4,1211,11.053
162.76,0.52,0.987,0.0452,22.45,0.43,32.7,724,30.382
94.89,0.944,0.985,0.0523,20.47,0.35,34.9,872,3.421
1124.59,0.612,0.994,0.0635,82.68,0.36,33.4,841,138.789
60.07,0.413,1,0.0077,15.99,0.46,36,1020,24.7325
26.83,0.736,0.866,0.0258,11.19,0.44,43.7,1294,3.9580002
759.03,0.386,0.927,0.0532,107.44,0.43,40.7,1163,233.276
1745.88,0.484,0.938,0.0612,102.35,0.69,35.6,1194,223.915
98.37,0.437,0.986,0.0742,21.17,0.61,39.1,1296,37.486
88.18,0.298,0.997,0.0268,22.94,0.59,40.2,1050,80.015
4.32,0.32,1,0.0516,3.74,0.27,33.1,641,1.906
205.67,0.775,0.971,0.0348,31.37,0.38,39.8,1010,15.948
8.69,0.323,1,0.0098,5.73,0.66,72.9,2483,13.829
365.9,0.61,0.992,0.0902,54.57,0.37,35,877,44.366
57.5,0.419,0.999,0.0433,19.06,0.5,40.2,1164,30.935
23.33,0.669,0.933,0.0579,11.77,0.35,34.2,906,3.361
78.1,0.505,1,0.0491,25.04,0.31,31.5,619,6.582
885.11,0.588,0.99,0.1064,90.17,0.35,34.3,813,45.1455
135.29,0.549,0.996,0.0339,35.22,0.48,45.5,1423,48.737
27.58,0.387,0.999,0.0447,9.26,0.27,29.1,588,6.759
